Time,Iter,Assembly_ID,Obj_name,Density,Mass,MaxTemperature,Max_stress,Yield_stress,Parent_id
18.25,73,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,652.611023,0,0,1
18.5,74,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,656.478027,0,0,1
18.75,75,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,660.327026,0,0,1
19.0,76,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,664.15802,0,0,1
19.25,77,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,668.02301,0,0,1
19.5,78,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,671.890015,0,0,1
19.75,79,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,675.739014,0,0,1
20.0,80,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,679.56897,0,0,1
20.25,81,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,683.380005,0,0,1
20.5,82,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,687.304993,0,0,1
20.75,83,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,691.21698,0,0,1
21.0,84,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,695.112976,0,0,1
21.25,85,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,698.992981,0,0,1
21.5,86,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,702.856995,0,0,1
21.75,87,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,706.703979,0,0,1
22.0,88,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,710.54303,0,0,1
22.25,89,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,714.424011,0,0,1
22.5,90,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,718.288025,0,0,1
22.75,91,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,722.133972,0,0,1
23.0,92,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,725.961975,0,0,1
23.25,93,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,729.771973,0,0,1
23.5,94,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,733.596985,0,0,1
23.75,95,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,737.547974,0,0,1
24.0,96,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,741.484009,0,0,1
24.25,97,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,745.403992,0,0,1
24.5,98,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,749.307983,0,0,1
24.75,99,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,753.197021,0,0,1
25.0,100,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,757.070007,0,0,1
25.25,101,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,760.926025,0,0,1
25.5,102,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,764.765991,0,0,1
25.75,103,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,768.588989,0,0,1
26.0,104,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,772.395996,0,0,1
26.25,105,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,776.216003,0,0,1
26.5,106,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,780.156982,0,0,1
26.75,107,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,784.148987,0,0,1
27.0,108,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,788.130005,0,0,1
27.25,109,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,792.094971,0,0,1
27.5,110,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,796.041992,0,0,1
27.75,111,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,799.973022,0,0,1
28.0,112,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,803.885986,0,0,1
28.25,113,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,807.880981,0,0,1
28.5,114,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,811.953003,0,0,1
28.75,115,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,816.010986,0,0,1
29.0,116,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,820.054993,0,0,1
29.25,117,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,824.085022,0,0,1
29.5,118,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,828.099976,0,0,1
29.75,119,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,832.101013,0,0,1
30.0,120,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,836.086975,0,0,1
30.25,121,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,840.057983,0,0,1
30.5,122,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,844.013977,0,0,1
30.75,123,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,847.953979,0,0,1
31.0,124,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,852.059998,0,0,1
31.25,125,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,856.179993,0,0,1
31.5,126,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,860.317017,0,0,1
31.75,127,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,864.445007,0,0,1
32.0,128,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,868.562988,0,0,1
32.25,129,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,872.671997,0,0,1
32.5,130,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,876.786987,0,0,1
32.75,131,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,881.080017,0,0,1
33.0,132,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,885.362,0,0,1
33.25,133,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,889.633972,0,0,1
33.5,134,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,893.895996,0,0,1
33.75,135,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,898.146973,0,0,1
34.0,136,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,902.387024,0,0,1
34.25,137,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.999524,286.353292,906.61499,0,0,1
34.5,138,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.991355,286.337697,910.11499,0,0,1
34.75,139,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.979322,286.314726,910.335022,0,0,1
35.0,140,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.959974,286.277791,910.61499,0,0,1
35.25,141,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.936233,286.232469,910.547974,0,0,1
35.5,142,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.906887,286.176446,911.179993,0,0,1
35.75,143,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.872362,286.110537,911.224976,0,0,1
