Time,Iter,Assembly_ID,Obj_name,Density,Mass,Max_stress,Yield_stress,Parent_id
32.4,108,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
32.7,109,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
33.0,110,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
33.3,111,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
33.6,112,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
33.9,113,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
34.2,114,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
34.5,115,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
34.8,116,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
35.1,117,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
35.4,118,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
35.7,119,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
36.0,120,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
36.3,121,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
36.6,122,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
36.9,123,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
37.2,124,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
37.5,125,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
37.8,126,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
38.1,127,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
38.4,128,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
38.7,129,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
39.0,130,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
39.3,131,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
39.6,132,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
39.9,133,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
40.2,134,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
40.5,135,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
40.8,136,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
41.1,137,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
41.4,138,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
41.7,139,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
42.0,140,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
42.3,141,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
42.6,142,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
42.9,143,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
43.2,144,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
43.5,145,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
43.8,146,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
44.1,147,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
44.4,148,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
44.7,149,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
45.0,150,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
45.3,151,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
45.6,152,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
45.9,153,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
46.2,154,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
46.5,155,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
46.8,156,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
47.1,157,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
47.4,158,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
47.7,159,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
48.0,160,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
48.3,161,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
48.6,162,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
48.9,163,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
49.2,164,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
49.5,165,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
49.8,166,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
50.1,167,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
50.4,168,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
50.7,169,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
51.0,170,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
51.3,171,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
51.6,172,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
51.9,173,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
52.2,174,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
52.5,175,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
52.8,176,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
53.1,177,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
53.4,178,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
53.7,179,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
54.0,180,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
54.3,181,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
54.6,182,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
54.9,183,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
