Time,Iter,Assembly_ID,Mass,Altitude,Distance,Velocity,FlightPathAngle,HeadingAngle,Latitude,Longitude,AngleAttack,AngleSideslip,ECEF_X,ECEF_Y,ECEF_Z,ECEF_vU,ECEF_vV,ECEF_vW,BODY_COM_X,BODY_COM_Y,BODY_COM_Z,Aero_Fx_B,Aero_Fy_B,Aero_Fz_B,Aero_Mx_B,Aero_My_B,Aero_Mz_B,Lift,Drag,Crosswind,Inertia_xx,Inertia_xy,Inertia_xz,Inertia_yy,Inertia_yz,Inertia_zz,Roll,Pitch,Yaw,distRoll,distPitch,distYaw,VelRoll,VelPitch,VelYaw,magnitudeOmega,angularMomentum_x,angularMomentum_y,angularMomentum_z,magnitudeAngularMomentum,Quat_w,Quat_x,Quat_y,Quat_z,Quat_prev_w,Quat_prev_x,Quat_prev_y,Quat_prev_z,Mach,Speedsound,Density,Temperature,Pressure,SpecificHeatRatio,qmax,Tmax,knudsen,N2_mass_pct,O2_mass_pct,O_mass_pct,He_mass_pct,Ar_mass_pct,N_mass_pct,H_mass_pct,Pstag,Tstag,Rhostag,Aref,Lref,Temperature_obj_0,Mass_obj_0
85.8,286,1,626.115104854686,32625.58819406522,0,4318.009382050466,-17.020697743696,46.8521401336,23.529924220327,-28.099572611929,17.330051946617,7.688289315118,5187668.2760301465,-2769907.1650996176,2543660.0654365863,-592.038255914113,3732.758822796652,2088.350377174234,2.335531e-06,2.174074e-06,-2.5589e-08,-252024.6660978591,-35642.55837369086,-78646.74194106208,0.031162947944,2.129484447774,-1.054294263901,-440.016803457024,266405.59432652936,-1.960796657593,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.504839009566,0.317321668876,38.97111540197,-0.164492925965,-4.004328760067,36.988377008581,-0.002564938815,2.592063552446,-1.709498061079,3.105025548955,-0.011286833451,11.303510703642,-7.454974687441,13.540536518556,0.549569756271,-0.459811752781,-0.695458232387,0.053703649802,0.549707133195,-0.459926692738,-0.695632077312,0.053717074198,14.349962460525,300.907364317428,0.010009918073,224.866363694127,646.242636693088,1.40249250336,1225320.3535669995,300.0,3.090416e-06,0.755628333978,0.231484755308,0.0,7.24308e-07,0.012886186405,0.0,0.0,171869.4865899305,9543.534102545822,0.062726197638,1.0,1.999442919942,300,626.115104854686
86.1,287,1,626.115104854686,32248.588892214135,0,4191.206081337032,-17.045851093429,46.857198167003,23.537537835577,-28.090762372928,18.165957203898,8.17663783192,5187490.664553373,-2768787.337452779,2544286.570549739,-576.719589398802,3623.691069420964,2025.454508212652,2.335531e-06,2.174074e-06,-2.5589e-08,-251234.23576394227,-37993.28925546585,-82443.14807159678,-0.003284979356,2.113063286298,-0.972732479365,-439.262918167101,267130.7001448453,-0.714409837987,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.496227250276,1.110176559732,38.468679625016,-0.164618736024,-3.182760784698,36.453769008965,-0.000419366864,2.738559917898,-1.782026665386,3.267312295439,-0.001935652875,11.942355130756,-7.771264345646,14.248241973863,0.554506850966,-0.457052976807,-0.693764583698,0.048118925897,0.554663777948,-0.457182324071,-0.693960921005,0.048132543686,13.969397003367,300.02770200652,0.010659369076,223.55371544446,684.153480278118,1.402492896992,1154637.4816190905,300.0,2.902127e-06,0.755623306298,0.231487760327,0.0,7.24365e-07,0.01288820901,0.0,0.0,172445.6123609715,9002.965855771949,0.06671544653,1.0,1.999442919942,300,626.115104854686
86.4,288,1,626.115104854686,31882.12953857054,0,4064.056698368737,-17.07250196317,46.862166573996,23.544926609631,-28.082210325138,19.050413665773,8.683237096631,5187317.648676553,-2767700.2301319526,2544894.2069022027,-561.29412670121,3514.305349918996,1962.438192254028,2.335531e-06,2.174074e-06,-2.5589e-08,-249384.45683745763,-40296.08979027043,-86114.9939402905,-0.038450467224,2.100974911832,-0.875433233441,-446.062191331804,266893.1909337332,-2.750798669884,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.480436708258,1.946678405847,37.944445467442,-0.164811812186,-2.31758282822,35.899085663503,-0.000643587208,2.883926521594,-1.848944484875,3.425730331521,-0.002918645148,12.576273119848,-8.063085621889,14.939076405502,0.559682874243,-0.454146144971,-0.691896610584,0.0422544619,0.5598617352,-0.454291278971,-0.692117723817,0.042267965393,13.583820350189,299.183631231715,0.011333357774,222.29767402213,723.325147108143,1.402492969251,1084183.9642735212,300.0,2.72954e-06,0.755622002686,0.231488692776,-0.0,7.2432e-07,0.012888580218,-0.0,-0.0,172411.58465806654,8477.107642327504,0.070840023907,1.0,1.999442919942,300,626.115104854686
86.7,289,1,626.115104854686,31526.242138027428,0,3937.022533445692,-17.10078944793,46.86702157628,23.552089950379,-28.073917314755,19.983703827914,9.205754002079,5187149.260438542,-2766645.938526977,2545482.938359879,-545.827581976852,3405.000043492288,1899.524515090542,2.335531e-06,2.174074e-06,-2.5589e-08,-246495.3332391279,-42503.47003467012,-89624.66567075058,-0.105766142103,2.094723127708,-0.782296917017,-455.55968840804,265704.47383173305,4.628480553503,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.455787746341,2.826380943766,37.399813731339,-0.165797902468,-1.409044400803,35.326334990099,-0.003286967605,3.028461424722,-1.909168911347,3.580016108517,-0.014451085401,13.20656450895,-8.325717284348,15.611890444845,0.565086087519,-0.451099808053,-0.689842247234,0.036115797053,0.565289393767,-0.451262104403,-0.69009043816,0.036128790767,13.194858013802,298.375513349795,0.012030511656,221.098304521861,763.677229313117,1.402492718847,1013928.3752033293,300.0,2.571364e-06,0.755625295719,0.231486685491,-0.0,7.24196e-07,0.012887294594,-0.0,-0.0,171774.4181089973,7967.907999794375,0.075088571823,1.0,1.999442919942,300,626.115104854686
87.0,290,1,626.115104854686,31180.918513273416,0,3810.559430689154,-17.130824836401,46.871833109371,23.559028082109,-28.065883246015,20.966189672225,9.741575125947,5186985.51216395,-2765624.438513929,2546052.7957144063,-530.379930347134,3296.171358338742,1836.930777347463,2.335531e-06,2.174074e-06,-2.5589e-08,-242589.50696671745,-44610.285067235425,-92963.6150185238,-0.0881566761,2.044710739253,-0.696795172023,-434.567160493919,263593.98932120553,-9.303902200852,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.420624702604,3.748902454888,36.836435938197,-0.168966276469,-0.457274559035,34.737439094873,-0.010561246669,3.172566139227,-1.962986317418,3.730764362711,-0.046178041732,13.834980278591,-8.560408218255,16.269277813834,0.5707050509,-0.447924526654,-0.687587583176,0.02970991014,0.570935435395,-0.448105346616,-0.687865151278,0.029721903555,12.803709977285,297.61369458144,0.012749318509,219.970649620128,805.178690610141,1.402492414041,944510.4156795371,300.0,2.426389e-06,0.755627276144,0.231486274258,-0.0,7.24128e-07,0.01288572547,-0.0,-0.0,170552.57156978874,7477.087192191033,0.079448419627,1.0,1.999442919942,300,626.115104854686
87.3,291,1,626.115104854686,30846.11140317194,0,3685.109148206008,-17.162476665566,46.87643922074,23.565742024857,-28.058107077877,21.998230913581,10.287655656213,5186826.398184846,-2764635.587106427,2546603.8749476103,-515.005543433989,3188.19358505203,1774.886021314314,2.335531e-06,2.174074e-06,-2.5589e-08,-237737.26435536394,-46556.66858364499,-96069.01803568708,-0.098345286736,2.048123453624,-0.659064071258,-412.411221479811,260606.24729998244,-16.258091830925,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.372659710924,4.71395681885,36.25579287131,-0.173953508176,0.536694512098,34.134162524854,-0.016624105692,3.31323023711,-2.010921900064,3.87576803397,-0.07262198537,14.448392252729,-8.769448802746,16.901613678742,0.576526446886,-0.444633627028,-0.685118520609,0.023039237743,0.576786668964,-0.444834317712,-0.685427757014,0.023049636777,12.41165536202,296.907144189859,0.013488101638,218.927536867756,847.796569311244,1.402492251342,876925.9037483798,300.0,2.29349e-06,0.755623761352,0.231490635261,0.0,7.24209e-07,0.012884879178,0.0,0.0,168774.1927028329,7006.075777805615,0.083905566682,1.0,1.999442919942,300,626.115104854686
87.6,292,1,626.115104854686,30521.740171569076,0,3561.092097440275,-17.195817373159,46.880889376893,23.572233607141,-28.050586871969,23.079238604565,10.841870441934,5186671.896521816,-2763679.1290309117,2547136.3407540047,-499.760022562507,3081.43190618591,1713.591040429242,2.335531e-06,2.174074e-06,-2.5589e-08,-232034.2924608984,-48304.44791683335,-98877.25114043668,-0.227222657493,1.94171991791,-0.596844360805,-423.804147167008,256806.8607908834,0.495476476048,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.31138243422,5.720336398506,35.659119779538,-0.180969863815,1.572933231821,33.517283947981,-0.023387852129,3.454129065745,-2.05626192291,4.019921353716,-0.102122353697,15.06282796465,-8.967170232442,17.530241220399,0.58253842963,-0.441230532263,-0.682425635481,0.01611978419,0.58283133898,-0.441452389813,-0.682768769667,0.016127889467,12.020360322594,296.255020803881,0.014245513627,217.967103762465,891.474812972908,1.402492261539,811949.184961983,300.0,2.171552e-06,0.755616247633,0.231498110436,0.0,7.24394e-07,0.012884917537,0.0,0.0,166481.34863849237,6555.98506111899,0.088447918866,1.0,1.999442919942,300,626.115104854686
87.9,293,1,626.115104854686,30207.688389449762,0,3438.897240495354,-17.231195484513,46.885378546901,23.578505392852,-28.043319817012,24.210184056696,11.40288607757,5186521.968515046,-2762754.699459056,2547650.4180661333,-484.703937030569,2976.23120267727,1653.216305364734,2.335531e-06,2.174074e-06,-2.5589e-08,-225554.25594287776,-49848.15853938522,-101412.15830961592,-0.107478303733,1.930515275659,-0.589447185,-423.558528589805,252277.2420586568,29.56650518941,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.235635712708,6.767926809258,35.046592533778,-0.192675148409,2.649245586642,32.888087446691,-0.039017615312,3.587707849402,-2.097321670967,4.155950935522,-0.170285780318,15.645342539627,-9.146225931421,18.123443083968,0.588733588836,-0.43771582102,-0.679497922642,0.008955139862,0.589062199195,-0.437960138578,-0.679877194455,0.008960138306,11.631735738206,295.647813696451,0.015020526768,217.074706162247,936.125340136686,1.402492365054,749719.4751673044,300.0,2.059509e-06,0.755609898269,0.231503937477,0.0,7.2455e-07,0.012885439704,0.0,0.0,163725.9387085434,6127.597907821317,0.093065264052,1.0,1.999442919942,300,626.115104854686
88.2,294,1,626.115104854686,29903.8016899651,0,3318.874568212435,-17.268614688941,46.890024701377,23.584560600894,-28.036302287398,25.389851778099,11.967771926193,5186376.557333938,-2761861.8300982527,2548146.3829577425,-469.878485908482,2872.895935556189,1593.929594264552,2.335531e-06,2.174074e-06,-2.5589e-08,-218378.19390977424,-51219.9546793338,-103666.52240871965,-0.130182874686,1.92286559157,-0.569368826768,-393.332652502701,247101.42076119655,18.65979941508,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.141860275439,7.854313738439,34.418774597887,-0.206598046894,3.765400342597,32.246725660697,-0.046409661618,3.720515853185,-2.137872619982,4.291257555748,-0.20252576014,16.224495655555,-9.32306266132,18.713491746532,0.595081552655,-0.434105436119,-0.676334256318,0.001545882497,0.595448908389,-0.43437341808,-0.67675177097,0.001546836802,11.247492666967,295.076837699108,0.01581191932,216.23710811402,981.644602550758,1.402492500828,690126.4664111133,300.0,1.95643e-06,0.75560823821,0.23150489991,-0.0,7.24588e-07,0.012886137292,-0.0,-0.0,160560.90143443304,5721.390944216703,0.097745934895,1.0,1.999442919942,300,626.115104854686
88.5,295,1,626.115104854686,29609.897427174117,0,3201.33381541006,-17.307912722135,46.894489238213,23.590403059701,-28.029529920387,26.617951233153,12.53626130015,5186235.593788165,-2760999.961317586,2548624.561836022,-455.327464010904,2771.682539551922,1535.900712334078,2.335531e-06,2.174074e-06,-2.5589e-08,-210621.9039479434,-52396.91701776456,-105584.8055767394,-0.157210572271,1.872292243979,-0.539662995128,-376.567606601546,241360.7934324,-9.737611488905,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.0314707462,8.979030774173,33.775007749083,-0.223207133638,4.921239612252,31.59361294979,-0.055363622481,3.852797565515,-2.177042369688,4.425678218188,-0.241576970985,16.801353793153,-9.493876068444,19.299676979643,0.601583198224,-0.430382551218,-0.67292750383,-0.006090140375,0.601992506951,-0.430675377438,-0.673385354216,-0.006094284021,10.869000563265,294.538011731255,0.016618092139,215.448056777057,1027.929366893638,1.402492639256,633347.6815741222,300.0,1.86152e-06,0.755610337256,0.231502082265,-0.0,7.24508e-07,0.012886855971,-0.0,-0.0,157037.52104339344,5337.568078366568,0.102475600993,1.0,1.999442919942,300,626.115104854686
88.8,296,1,626.115104854686,29325.770536612574,0,3086.545690592736,-17.349285163425,46.898604354893,23.596037190425,-28.022997743326,27.895171134829,13.106732107636,5186098.995548963,-2760168.4565557204,2549085.3320497223,-441.100148063067,2672.823069222422,1479.260558565585,2.335531e-06,2.174074e-06,-2.5589e-08,-202388.25413116845,-53336.50551822851,-107152.95116333259,-0.152680709702,1.799387325372,-0.475760618184,-380.415357241819,235132.72452196697,-17.810187422539,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,-0.097081080705,10.141672264188,33.114812973871,-0.243060211236,6.115719637627,30.929362369193,-0.066176925324,3.981600084583,-2.214168601989,4.556321017776,-0.288736354283,17.363039854025,-9.655777916713,19.869387731674,0.608228340249,-0.426546976858,-0.669269248227,-0.013951201657,0.608682966805,-0.426865803803,-0.66976950044,-0.013961629627,10.497278216061,294.03295092914,0.017437047259,214.709798977316,1074.890726073409,1.40249277861,580271.8283574836,300.0,1.774091e-06,0.75561092834,0.23150077003,-0.0,7.24397e-07,0.012887577232,-0.0,-0.0,153205.12099536223,4976.095659721452,0.107237098691,1.0,1.999442919942,300,626.115104854686
